what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378177936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378248987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378255469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378257912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378260717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378266978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378268114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378270981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378292763
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378295095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378296168
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378297364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1329378365051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329378369184
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329378386837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378388220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378398438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378401800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378409238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378417827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378421091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378426922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378430120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378432920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378453932
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378458714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378460034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378463825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378474995
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378476597
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378477925
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329378479200
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378493931
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378493974
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329378494162
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378500643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329378503745
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329378505048
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329378508031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378515423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378517062
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329378517603
